sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
72 2 50 100 10 0.00732 47.92788 0.98 97.01324 1
87 2 10 50 10 0.00552 8.015397 0.5 48.50191 0.98
84 5 10 10 10 0.00509 8.406184 0.9 8.532178 0.8
67 4 50 50 1 0.00858 17.307178 1 17.31842 1
92 2 50 10 5 0.00556 42.774025 1 7.0489707 0.2
91 2 50 10 1 0.00744 17.697237 1 2.3537397 0
51 4 100 50 10 0.0103 96.95528 0.99 47.311394 1
43 5 50 100 1 0.01014 16.992695 0.92 36.043488 1
93 2 50 10 10 0.00478 48.522495 1 8.180187 0.2
85 3 10 50 1 0.00301 2.3910093 0 17.721766 1
50 4 100 50 5 0.01053 85.53759 0.99 41.53569 0.98
25 5 100 100 1 0.0206 34.96271 1 34.88347 1
110 1 10 10 5 0.0033 7.358579 0.8 7.371816 0.7
111 1 10 10 10 0.00524 8.467601 0.7 8.386601 0.8
109 1 10 10 1 0.00692 2.3662057 0.8 2.3758597 0.9
86 3 10 50 5 0.00635 6.952463 0.5 42.799873 1
100 1 100 10 1 0.00641 36.31179 1 2.354949 0
73 3 100 10 1 0.00752 36.311096 1 2.3432336 0
68 4 50 50 5 0.00684 42.45182 0.92 42.455284 0.98
61 3 10 100 1 0.01034 2.308971 0 36.314594 1
62 4 10 100 5 0.00563 7.0027237 0 85.67243 1
97 1 50 100 1 0.00564 17.261082 0.8 36.18328 1
89 2 10 100 5 0.00595 6.9434156 0.2 85.70027 1
27 5 100 100 10 0.02296 95.09792 0.99 95.23595 1
69 4 50 50 10 0.00752 48.132454 1 48.24284 1
101 1 100 10 5 0.00504 85.71394 1 7.1047974 0
102 1 100 10 10 0.00129 97.05253 0.99 8.339155 0
98 1 50 100 5 0.00558 42.21591 0.88 85.58336 0.99
99 1 50 100 10 0.00522 48.07777 0.94 97.02363 0.99
112 1 10 50 1 0.0064 2.370562 0 17.721079 1
111 2 10 10 10 0.00853 8.253241 0.9 8.162539 0.9
110 2 10 10 5 0.00449 7.3297725 0.8 7.41519 0.6
109 2 10 10 1 0.00456 2.3821194 0.8 2.352352 0.8
95 2 50 50 5 0.00574 42.52249 0.98 42.524956 0.98
92 3 50 10 5 0.00665 42.794563 1 7.024224 0.5
75 3 100 10 10 0.00736 97.03891 1 7.9521875 0.3
74 3 100 10 5 0.00673 85.73745 1 6.9719462 0.4
88 2 10 100 1 0.00593 2.3762515 0 36.30281 1
96 2 50 50 10 0.00512 48.33741 0.98 48.35726 0.94
87 3 10 50 10 0.00483 8.177725 0.4 48.50395 0.98
71 3 50 100 5 0.00797 41.93706 0.98 85.5616 1
85 4 10 50 1 0.00543 2.3666656 0 17.77594 1
91 3 50 10 1 0.0052 17.706549 1 2.370121 0.1
93 3 50 10 10 0.00701 48.48363 0.98 7.9907346 0.7
45 5 50 100 10 0.01045 47.59404 1 96.95947 1
67 5 50 50 1 0.00829 17.321083 1 17.327047 1
103 1 100 50 1 0.00477 36.214104 1 17.332016 0.7
86 4 10 50 5 0.00889 7.0085306 0.6 42.754524 1
76 3 100 50 1 0.00887 36.104286 1 17.030611 0.9
52 4 100 100 1 0.01052 35.62455 0.97 35.63745 1
90 2 10 100 10 0.00444 8.078662 0.1 97.02809 1
80 2 100 100 5 0.00787 85.30251 0.98 85.33253 0.99
63 4 10 100 10 0.00675 7.9615316 0.4 97.02796 1
49 5 100 50 1 0.01011 36.08087 0.99 16.976807 0.96
77 3 100 50 5 0.00743 85.64357 0.98 42.063686 0.96
94 2 50 50 1 0.00633 17.442728 0.96 17.435535 0.98
119 1 50 10 5 0.00251 42.81456 0.98 7.2106857 0
111 3 10 10 10 0.00565 8.47051 0.8 8.347425 0.9
110 3 10 10 5 0.00345 7.327258 0.7 7.3742213 0.8
113 1 10 50 5 0.00569 7.10798 0.4 42.753616 1
81 2 100 100 10 0.00724 96.88919 1 96.9161 0.93
114 1 10 50 10 0.00308 8.28781 0.1 48.51277 0.98
109 3 10 10 1 0.00092 2.3847456 0.5 2.3897936 0.6
104 1 100 50 5 0.00506 85.63881 1 42.323593 0.86
118 1 50 10 1 0.00256 17.72786 1 2.3947845 0
78 3 100 50 10 0.00773 97.01096 0.99 47.83531 0.94
105 1 100 50 10 0.00556 97.01789 0.97 48.1784 0.94
79 2 100 100 1 0.00794 35.832684 0.98 35.73848 0.97
72 3 50 100 10 0.00796 47.74553 0.98 97.01269 1
70 3 50 100 1 0.00812 17.08582 0.94 36.122543 1
68 5 50 50 5 0.00817 42.22705 1 42.343315 0.98
120 1 50 10 10 0.00561 48.50948 1 8.024118 0.4
112 2 10 50 1 0.00347 2.414211 0 17.710436 1
100 2 100 10 1 0.00574 36.31933 1 2.3607168 0
92 4 50 10 5 0.00781 42.75641 1 6.9835362 0.6
